ID	DOCULECT	CONCEPT	COUNTERPART	IPA	PROTO	COGID	PORTUGUESE
980	KAR	black	~jii	~jii	*tjʔĩ	107	preto
981	WAN	black	~jii	~jii	*tjʔĩ	107	preto
982	SIO	egg	sʔia	sʔia	*tjʔia	108	ovo
983	SEK	egg	sʔia	sʔia	*tjʔia	108	ovo
984	KOR	egg	jia	jia	*tjʔia	108	ovo
985	MAL	egg	jia	jia	*tjʔia	108	ovo
986	TAN	egg	ria	ria	*tjʔia	108	ovo
987	KUB	egg	hĩdɨ	hĩdɨ	*tjʔia	108	ovo
988	BAS	egg	ria	ria	*tjʔia	108	ovo
989	TUK	egg	die	die	*tjʔia	108	ovo
990	KAR	egg	ria	ria	*tjʔia	108	ovo
991	WAN	egg	die	die	*tjʔia	108	ovo
992	SEK	face	sʔia	sʔia	*tjʔia	109	face
993	KOR	face	jia	jia	*tjʔia	109	face
994	MAL	face	jia	jia	*tjʔia	109	face
995	KUB	face	hiwa	hiwa	*tjʔia	109	face
996	DES	face	dia	dia	*tjʔia	109	face
997	BAS	face	ria	ria	*tjʔia	109	face
998	TUK	face	dia	dia	*tjʔia	109	face
999	KAR	face	ria	ria	*tjʔia	109	face
1000	SIO	river	sʔia	sʔia	*tjʔia	110	rio
1001	SEK	river	sʔia	sʔia	*tjʔia	110	rio
1002	KOR	river	jia	jia	*tjʔia	110	rio
1003	MAL	river	jia	jia	*tjʔia	110	rio
1004	KUE	river	la	la	*tjʔia	110	rio
1005	TAN	river	ria	ria	*tjʔia	110	rio
1006	KUB	river	hia	hia	*tjʔia	110	rio
1007	DES	river	dia	dia	*tjʔia	110	rio
1008	BAS	river	ria	ria	*tjʔia	110	rio
1009	TUK	river	dia	dia	*tjʔia	110	rio
1010	KAR	river	ria	ria	*tjʔia	110	rio
1011	WAN	river	dia	dia	*tjʔia	110	rio
1012	SIO	blood	sʔie	sʔie	*tjʔie	111	sangue
1013	SEK	blood	sʔie	sʔie	*tjʔie	111	sangue
1014	KOR	blood	jie	jie	*tjʔie	111	sangue
1015	KUE	blood	lieri	lieri	*tjʔie	111	sangue
1016	TAN	blood	ribe	ribe	*tjʔie	111	sangue
1017	KUB	blood	hiwe	hiwe	*tjʔie	111	sangue
1018	DES	blood	dii	dii	*tjʔie	111	sangue
1019	BAS	blood	rii	rii	*tjʔie	111	sangue
1020	TUK	blood	dii	dii	*tjʔie	111	sangue
1021	KAR	blood	rii	rii	*tjʔie	111	sangue
1022	WAN	blood	di	di	*tjʔie	111	sangue
1023	SIO	lake	sʔitada	sʔitada	*tjʔitta	112	lago
1024	MAL	lake	t∫ita	t∫ita	*tjʔitta	112	lago
1025	KUE	lake	rita	rita	*tjʔitta	112	lago
1026	KUB	lake	hita	hita	*tjʔitta	112	lago
1027	DES	lake	dita	dita	*tjʔitta	112	lago
1028	TUK	lake	dita	dita	*tjʔitta	112	lago
1029	SIO	head	~sʔiho	~sʔiho	*tjʔɨpo	113	cabeça
1030	SEK	head	~sio	~sio	*tjʔɨpo	113	cabeça
1031	KOR	head	~siho	~siho	*tjʔɨpo	113	cabeça
1032	MAL	head	t∫io	t∫io	*tjʔɨpo	113	cabeça
1033	TAN	head	rupu	rupu	*tjʔɨpo	113	cabeça
1034	KUB	head	hipo	hipo	*tjʔɨpo	113	cabeça
1035	DES	head	dipu	dipu	*tjʔɨpo	113	cabeça
1036	BAS	head	riho	riho	*tjʔɨpo	113	cabeça
1037	TUK	head	dɨpo	dɨpo	*tjʔɨpo	113	cabeça
1038	KAR	head	rɨpo	rɨpo	*tjʔɨpo	113	cabeça
1039	WAN	head	dapu	dapu	*tjʔɨpo	113	cabeça
1040	KUE	mouth1	risepu	risepu	*tjʔɨseo	114	boca1
1041	TAN	mouth1	riho	riho	*tjʔɨseo	114	boca1
1042	KUB	mouth1	hihe	hihe	*tjʔɨseo	114	boca1
1043	DES	mouth1	disi	disi	*tjʔɨseo	114	boca1
1044	BAS	mouth1	rice	rice	*tjʔɨseo	114	boca1
1045	TUK	mouth1	ɨʔse	ɨʔse	*tjʔɨseo	114	boca1
1046	KAR	mouth1	rise, jise	rise	*tjʔɨseo	114	boca1
1047	WAN	mouth1	dɨse	dɨse	*tjʔɨseo	114	boca1
1048	SIO	distant	sʔoa	sʔoa	*tjʔoa	115	longe
1049	SEK	distant	soʔo	soʔo	*tjʔoa	115	longe
1050	MAL	distant	jãma	jãma	*tjʔoa	115	longe
1051	KUE	distant	joe	joe	*tjʔoa	115	longe
1052	TAN	distant	joe	joe	*tjʔoa	115	longe
1053	KUB	distant	hoa	hoa	*tjʔoa	115	longe
1054	DES	distant	joa	joa	*tjʔoa	115	longe
1055	BAS	distant	joa	joa	*tjʔoa	115	longe
1056	TUK	distant	joa	joa	*tjʔoa	115	longe
1057	KAR	distant	joa	joa	*tjʔoa	115	longe
1058	WAN	distant	joa	joa	*tjʔoa	115	longe
1059	SEK	king-fisher	sʔãʔsa	sʔãʔsa	*tjãsa	116	martim pescador
1060	KOR	king-fisher	sãsʔa	sãsʔa	*tjãsa	116	martim pescador
1061	TAN	king-fisher	~haha	~haha	*tjãsa	116	martim pescador
1062	KUB	king-fisher	~haha	~haha	*tjãsa	116	martim pescador
1063	DES	king-fisher	~sada	~sada	*tjãsa	116	martim pescador
1064	BAS	king-fisher	~jasa	~jasa	*tjãsa	116	martim pescador
1065	TUK	king-fisher	~sada	~sada	*tjãsa	116	martim pescador
1066	KAR	king-fisher	~jasa	~jasa	*tjãsa	116	martim pescador
1067	WAN	king-fisher	~sada	~sada	*tjãsa	116	martim pescador
1068	SIO	peccary	sẽse	sẽse	*tjẽse	117	porco do mato
1069	SEK	peccary	sẽse	sẽse	*tjẽse	117	porco do mato
1070	KOR	peccary	sẽse	sẽse	*tjẽse	117	porco do mato
1071	MAL	peccary	sẽse	sẽse	*tjẽse	117	porco do mato
1072	KUE	peccary	jese	jese	*tjẽse	117	porco do mato
1073	TAN	peccary	~hehe	~hehe	*tjẽse	117	porco do mato
1074	KUB	peccary	~hehe	~hehe	*tjẽse	117	porco do mato
1075	DES	peccary	jese	jese	*tjẽse	117	porco do mato
1076	BAS	peccary	jece	jece	*tjẽse	117	porco do mato
1077	TUK	peccary	jese	jese	*tjẽse	117	porco do mato
1078	WAN	peccary	jese	jese	*tjẽse	117	porco do mato
1079	SEK	poison	sʔĩma	sʔĩma	*tjima	118	veneno
1080	KOR	poison	jima	jima	*tjima	118	veneno
1081	KUB	poison	~hima	~hima	*tjima	118	veneno
1082	DES	poison	~diba	~diba	*tjima	118	veneno
1083	TUK	poison	~diba	~diba	*tjima	118	veneno
1084	KAR	poison	~diba	~diba	*tjima	118	veneno
1085	WAN	poison	~jiba	~jiba	*tjima	118	veneno
1086	SIO	green	sɨho	sɨho	*tjɨ̃pʔe	119	verde
1087	KUE	green	tɨmɨ	tɨmɨ	*tjɨ̃pʔe	119	verde
1088	TAN	green	~hiʔbi	~hiʔbi	*tjɨ̃pʔe	119	verde
1089	KUB	green	~hɨbe	~hɨbe	*tjɨ̃pʔe	119	verde
1090	BAS	green	~cɨbe	~cɨbe	*tjɨ̃pʔe	119	verde
1091	TUK	green	sɨʔme	sɨʔme	*tjɨ̃pʔe	119	verde
1092	KAR	green	~hɨbe	~hɨbe	*tjɨ̃pʔe	119	verde
1093	SIO	cold	sɨsɨ	sɨsɨ	*tjɨsi	120	frio
1094	SEK	cold	sɨsɨ	sɨsɨ	*tjɨsi	120	frio
1095	KOR	cold	sɨsɨ	sɨsɨ	*tjɨsi	120	frio
1096	MAL	cold	sɨsɨ	sɨsɨ	*tjɨsi	120	frio
1097	KUE	cold	jɨsɨa	jɨsɨa	*tjɨsi	120	frio
1098	TAN	cold	hiʔhia	hiʔhia	*tjɨsi	120	frio
1099	KUB	cold	hɨhɨ	hɨhɨ	*tjɨsi	120	frio
1100	DES	cold	jɨsa	jɨsa	*tjɨsi	120	frio
1101	BAS	cold	ɨca, jɨcɨ	ɨca	*tjɨsi	120	frio
1102	TUK	cold	jɨsɨa	jɨsɨa	*tjɨsi	120	frio
1103	WAN	cold	jɨsɨ	jɨsɨ	*tjɨsi	120	frio
1104	SIO	tree	sũki	sũki	*tjũkkɨ	121	árvore
1105	SEK	tree	sõkɨ	sõkɨ	*tjũkkɨ	121	árvore
1106	KOR	tree	sũkij̃ɨ	sũkij̃ɨ	*tjũkkɨ	121	árvore
1107	MAL	tree	sũkij̃i	sũkij̃i	*tjũkkɨ	121	árvore
1108	KUE	tree	tokɨ	tokɨ	*tjũkkɨ	121	árvore
1109	TAN	tree	~huki	~huki	*tjũkkɨ	121	árvore
1110	KUB	tree	hokɨ	hokɨ	*tjũkkɨ	121	árvore
1111	DES	tree	jukɨ	jukɨ	*tjũkkɨ	121	árvore
1112	BAS	tree	jukɨ	jukɨ	*tjũkkɨ	121	árvore
1113	TUK	tree	jukɨ	jukɨ	*tjũkkɨ	121	árvore
1114	KAR	tree	jukɨ	jukɨ	*tjũkkɨ	121	árvore
1115	WAN	tree	jukɨ	jukɨ	*tjũkkɨ	121	árvore
1116	SIO	insect sp.	susi	susi	*tjusi	122	inseto sp.
1117	KOR	insect sp.	sũsi	sũsi	*tjusi	122	inseto sp.
1118	KUE	insect sp.	to(o)si	tosi	*tjusi	122	inseto sp.
1119	KUB	insect sp.	huhi	huhi	*tjusi	122	inseto sp.
1120	BAS	insect sp.	usi	usi	*tjusi	122	inseto sp.
1121	WAN	insect sp.	jĩ	jĩ	*tjusi	122	inseto sp.
1122	SIO	fruit sp.	toa	toa	*toa	123	fruta sp.
1123	SEK	fruit sp.	toa	toa	*toa	123	fruta sp.
1124	KOR	fruit sp.	thoa	thoa	*toa	123	fruta sp.
1125	MAL	fruit sp.	toa	toa	*toa	123	fruta sp.
1126	KUB	fruit sp.	toa	toa	*toa	123	fruta sp.
1127	BAS	fruit sp.	toa	toa	*toa	123	fruta sp.
1128	TUK	fruit sp.	toa	toa	*toa	123	fruta sp.
1129	WAN	fruit sp.	thoa	thoa	*toa	123	fruta sp.
1130	SIO	stump	tu	tu	*tu-tu	124	toco
1131	SEK	stump	tu-	tu	*tu-tu	124	toco
1132	KOR	stump	thuu	thuu	*tu-tu	124	toco
1133	MAL	stump	tu	tu	*tu-tu	124	toco
1134	KUB	stump	tutudi	tutudi	*tu-tu	124	toco
1135	DES	stump	tudu	tudu	*tu-tu	124	toco
1136	BAS	stump	tutu	tutu	*tu-tu	124	toco
1137	TUK	stump	tutu	tutu	*tu-tu	124	toco
1138	KAR	stump	tutu	tutu	*tu-tu	124	toco
1139	WAN	stump	thutu	thutu	*tu-tu	124	toco
1140	KUE	pacu fish	hohu	hohu	*uhu	125	pacu
1141	DES	pacu fish	uhu	uhu	*uhu	125	pacu
1142	BAS	pacu fish	uhu	uhu	*uhu	125	pacu
1143	TUK	pacu fish	uhu	uhu	*uhu	125	pacu
1144	SIO	breast	ohe	ohe	*upe	126	peito
1145	SEK	breast	ohe	ohe	*upe	126	peito
1146	KOR	breast	ohe	ohe	*upe	126	peito
1147	MAL	breast	ohe	ohe	*upe	126	peito
1148	KUE	breast	huheri	huheri	*upe	126	peito
1149	TAN	breast	ũʔpe	ũʔpe	*upe	126	peito
1150	KUB	breast	ope	ope	*upe	126	peito
1151	DES	breast	~api	~api	*upe	126	peito
1152	BAS	breast	~ohe	~ohe	*upe	126	peito
1153	TUK	breast	~ope	~ope	*upe	126	peito
1154	KAR	breast	~upe	~upe	*upe	126	peito
1155	WAN	breast	~pedo	~pedo	*upe	126	peito
1156	SIO	wasp	uti	uti	*utti	127	caba
1157	SEK	wasp	uti	uti	*utti	127	caba
1158	KOR	wasp	uthi	uthi	*utti	127	caba
1159	MAL	wasp	uti	uti	*utti	127	caba
1160	KUE	wasp	huti	huti	*utti	127	caba
1161	TAN	wasp	uti	uti	*utti	127	caba
1162	KUB	wasp	ut∫i	ut∫i	*utti	127	caba
1163	DES	wasp	uti	uti	*utti	127	caba
1164	BAS	wasp	uti	uti	*utti	127	caba
1165	TUK	wasp	uti	uti	*utti	127	caba
1166	KAR	wasp	uti	uti	*utti	127	caba
1167	WAN	wasp	ti	ti	*utti	127	caba
1168	KOR	fish with a net	wajo	wajo	*waja	128	pescar com rede
1169	MAL	fish with a net	bejo	bejo	*waja	128	pescar com rede
1170	DES	fish with a net	waja	waja	*waja	128	pescar com rede
1171	BAS	fish with a net	waja	waja	*waja	128	pescar com rede
1172	TUK	fish with a net	waʔsa	waʔsa	*waja	128	pescar com rede
1173	WAN	fish with a net	waʔsa	waʔsa	*waja	128	pescar com rede
1174	SIO	cheek	wajo	wajo	*wajo	129	bochecha
1175	SEK	cheek	wajo	wajo	*wajo	129	bochecha
1176	KOR	cheek	wajo	wajo	*wajo	129	bochecha
1177	MAL	cheek	bajo	bajo	*wajo	129	bochecha
1178	KUB	cheek	wɨo	wɨo	*wajo	129	bochecha
1179	DES	cheek	waʔju	waʔju	*wajo	129	bochecha
1180	BAS	cheek	waju	waju	*wajo	129	bochecha
1181	TUK	cheek	waʔsu	waʔsu	*wajo	129	bochecha
1182	KAR	cheek	waso	waso	*wajo	129	bochecha
1183	WAN	cheek	waʔsu	waʔsu	*wajo	129	bochecha
1184	SIO	name	mami	mami	*wãmi	130	nome
1185	SEK	name	mami	mami	*wãmi	130	nome
1186	KOR	name	mami	mami	*wãmi	130	nome
1187	MAL	name	mami	mami	*wãmi	130	nome
1188	TAN	name	~wabe	~wabe	*wãmi	130	nome
1189	KUB	name	~abi	~abi	*wãmi	130	nome
1190	DES	name	~wai	~wai	*wãmi	130	nome
1191	BAS	name	~wabe	~wabe	*wãmi	130	nome
1192	TUK	name	~wabe	~wabe	*wãmi	130	nome
1193	KAR	name	~wabe	~wabe	*wãmi	130	nome
1194	WAN	name	~waba	~waba	*wãmi	130	nome
1195	SIO	mythical being	wati	wati	*wãtti	131	ser mítico do mato
1196	SEK	mythical being	wati	wati	*wãtti	131	ser mítico do mato
1197	KOR	mythical being	vathi	vathi	*wãtti	131	ser mítico do mato
1198	MAL	mythical being	ãi	ãi	*wãtti	131	ser mítico do mato
1199	TAN	mythical being	wãti	wãti	*wãtti	131	ser mítico do mato
1200	KUB	mythical being	~at∫i	~at∫i	*wãtti	131	ser mítico do mato
1201	DES	mythical being	wãti	wãti	*wãtti	131	ser mítico do mato
1202	BAS	mythical being	wãti	wãti	*wãtti	131	ser mítico do mato
1203	TUK	mythical being	wãti	wãti	*wãtti	131	ser mítico do mato
1204	KAR	mythical being	wãti	wãti	*wãtti	131	ser mítico do mato
1205	WAN	mythical being	wãti	wãti	*wãtti	131	ser mítico do mato
1206	SIO	fish	waʔi	waʔi	*waʔi	132	peixe
1207	SEK	fish	waʔi	waʔi	*waʔi	132	peixe
1208	KOR	fish	βaʔi	βaʔi	*waʔi	132	peixe
1209	MAL	fish	bai	bai	*waʔi	132	peixe
1210	KUE	fish	uai	uai	*waʔi	132	peixe
1211	TAN	fish	waʔi	waʔi	*waʔi	132	peixe
1212	KUB	fish	wáwi	wáwi	*waʔi	132	peixe
1213	DES	fish	waʔi	waʔi	*waʔi	132	peixe
1214	BAS	fish	wai	wai	*waʔi	132	peixe
1215	TUK	fish	waʔi	waʔi	*waʔi	132	peixe
1216	WAN	fish	waʔi	waʔi	*waʔi	132	peixe
1217	SIO	tapir	wekɨ	wekɨ	*wekkɨ	133	anta
1218	SEK	tapir	wẽkɨ	wẽkɨ	*wekkɨ	133	anta
1219	KOR	tapir	βekhɨ	βekhɨ	*wekkɨ	133	anta
1220	MAL	tapir	bekɨ	bekɨ	*wekkɨ	133	anta
1221	KUE	tapir	uekɨ	uekɨ	*wekkɨ	133	anta
1222	KUB	tapir	wekɨ	wekɨ	*wekkɨ	133	anta
1223	DES	tapir	wekɨ	wekɨ	*wekkɨ	133	anta
1224	BAS	tapir	wekɨ	wekɨ	*wekkɨ	133	anta
1225	TUK	tapir	wekɨ	wekɨ	*wekkɨ	133	anta
1226	WAN	tapir	wat∫ɨ	wat∫ɨ	*wekkɨ	133	anta
1227	SIO	parrot	weko	weko	*wekko	134	papagaio
1228	SEK	parrot	weko	weko	*wekko	134	papagaio
1229	KOR	parrot	weko	weko	*wekko	134	papagaio
1230	MAL	parrot	beko	beko	*wekko	134	papagaio
1231	KUB	parrot	weko	weko	*wekko	134	papagaio
1232	DES	parrot	weko	weko	*wekko	134	papagaio
1233	BAS	parrot	weko	weko	*wekko	134	papagaio
1234	TUK	parrot	weko	weko	*wekko	134	papagaio
1235	KAR	parrot	weko	weko	*wekko	134	papagaio
1236	WAN	parrot	wat∫o	wat∫o	*wekko	134	papagaio
1237	SEK	garden	βeʔse	βeʔse	*wese	135	roça
1238	KOR	garden	weʔse	weʔse	*wese	135	roça
1239	MAL	garden	bese	bese	*wese	135	roça
1240	DES	garden	wese	wese	*wese	135	roça
1241	BAS	garden	wece	wece	*wese	135	roça
1242	TUK	garden	wese	wese	*wese	135	roça
1243	WAN	garden	wese	wese	*wese	135	roça
1244	KOR	̃̃	weʔe	weʔe	*weʔe	136	jenipapo
1245	KUB	̃̃	wei	wei	*weʔe	136	jenipapo
1246	BAS	̃̃	wei	wei	*weʔe	136	jenipapo
1247	TAN	wind	~wiro	~wiro	*wĩno	137	vento
1248	DES	wind	~bidu	~bidu	*wĩno	137	vento
1249	BAS	wind	~bido	~bido	*wĩno	137	vento
1250	TUK	wind	~wido	~wido	*wĩno	137	vento
1251	KAR	wind	~wido	~wido	*wĩno	137	vento
1252	WAN	wind	~wido	~wido	*wĩno	137	vento
1253	SIO	house	wɨʔe	wɨʔe	*wɨʔe	138	casa
1254	SEK	house	wɨʔe	wɨʔe	*wɨʔe	138	casa
1255	KOR	house	βɨʔe	βɨʔe	*wɨʔe	138	casa
1256	MAL	house	ue	ue	*wɨʔe	138	casa
1257	KUE	house	wɨri	wɨri	*wɨʔe	138	casa
1258	TAN	house	wiʔi	wiʔi	*wɨʔe	138	casa
1259	KUB	house	wɨe	wɨe	*wɨʔe	138	casa
1260	DES	house	wiʔi	wiʔi	*wɨʔe	138	casa
1261	BAS	house	wi	wi	*wɨʔe	138	casa
1262	TUK	house	wiʔi	wiʔi	*wɨʔe	138	casa
1263	KAR	house	wii	wii	*wɨʔe	138	casa
1264	WAN	house	wɨʔɨ	wɨʔɨ	*wɨʔe	138	casa
1265	SIO	thunder	mɨho	mɨho	*wɨ̃po	139	trovão
1266	SEK	thunder	moho	moho	*wɨ̃po	139	trovão
1267	MAL	thunder	mɨha	mɨha	*wɨ̃po	139	trovão
1268	KUE	thunder	mɨʔho	mɨʔho	*wɨ̃po	139	trovão
1269	TAN	thunder	awĩpo	awĩpo	*wɨ̃po	139	trovão
1270	KUB	thunder	õpõ	õpõ	*wɨ̃po	139	trovão
1271	DES	thunder	bupu	bupu	*wɨ̃po	139	trovão
1272	BAS	thunder	bɨho	bɨho	*wɨ̃po	139	trovão
1273	TUK	thunder	bɨpo	bɨpo	*wɨ̃po	139	trovão
1274	WAN	thunder	wɨpo	wɨpo	*wɨ̃po	139	trovão
1275	SIO	agouti	wɨ	wɨ	*wuɨ	140	cutia
1276	SEK	agouti	wɨ	wɨ	*wuɨ	140	cutia
1277	KOR	agouti	βɨɨ	βɨɨ	*wuɨ	140	cutia
1278	TAN	agouti	bui	bui	*wuɨ	140	cutia
1279	KUB	agouti	buɨ	buɨ	*wuɨ	140	cutia
1280	DES	agouti	bui	bui	*wuɨ	140	cutia
1281	BAS	agouti	buu	buu	*wuɨ	140	cutia
1282	TUK	agouti	buu	buu	*wuɨ	140	cutia
1283	KAR	agouti	buu	buu	*wuɨ	140	cutia
1284	WAN	agouti	buu	buu	*wuɨ	140	cutia
1285	SIO	stone	kʔata	kʔata	kʔɨ̃ta	141	pedra
1286	SEK	stone	kɨna	kɨna	kʔɨ̃ta	141	pedra
1287	KOR	stone	katha	katha	kʔɨ̃ta	141	pedra
1288	TAN	stone	ãta	ãta	kʔɨ̃ta	141	pedra
1289	DES	stone	~ɨta	~ɨta	kʔɨ̃ta	141	pedra
1290	BAS	stone	~gɨta	~gɨta	kʔɨ̃ta	141	pedra
1291	TUK	stone	~ɨta	~ɨta	kʔɨ̃ta	141	pedra
1292	KAR	stone	~ɨta	~ɨta	kʔɨ̃ta	141	pedra
1293	PLR	stone	~kɨta	~kɨta	kʔɨ̃ta	141	pedra
1294	KUE	sit	jũʔi	jũʔi	???	142	sentar
1295	TAN	sit	jũi	jũi	???	142	sentar
1296	DES	sit	ruʔpa	ruʔpa	???	142	sentar
1297	TUK	sit	duhi	duhi	???	142	sentar
1298	KAR	sit	rui	rui	???	142	sentar
1299	WAN	sit	duhi	duhi	???	142	sentar
1300	PLR	sit	duhi	duhi	???	142	sentar
